nohup: ignoring input
Epoch:8/60 || Epochiter:8/23 || loss:0.4740||Batchtime:0.1002||ETA:0:02:01
Epoch:8/60 || Epochiter:9/23 || loss:0.4931||Batchtime:0.1116||ETA:0:02:15
Epoch:8/60 || Epochiter:10/23 || loss:0.5764||Batchtime:0.1325||ETA:0:02:40
Epoch:8/60 || Epochiter:11/23 || loss:0.4833||Batchtime:0.1422||ETA:0:02:51
Epoch:8/60 || Epochiter:12/23 || loss:0.4555||Batchtime:0.1413||ETA:0:02:50
Epoch:8/60 || Epochiter:13/23 || loss:0.4583||Batchtime:0.1614||ETA:0:03:14
Epoch:8/60 || Epochiter:14/23 || loss:0.4692||Batchtime:0.5607||ETA:0:11:16
Epoch:8/60 || Epochiter:15/23 || loss:0.4757||Batchtime:0.1449||ETA:0:02:54
Epoch:8/60 || Epochiter:16/23 || loss:0.5257||Batchtime:0.1502||ETA:0:03:00
Epoch:8/60 || Epochiter:17/23 || loss:0.4403||Batchtime:0.1371||ETA:0:02:44
Epoch:8/60 || Epochiter:18/23 || loss:0.4415||Batchtime:0.1802||ETA:0:03:36
Epoch:8/60 || Epochiter:19/23 || loss:0.4631||Batchtime:0.1443||ETA:0:02:53
Epoch:8/60 || Epochiter:20/23 || loss:0.4780||Batchtime:0.1392||ETA:0:02:47
Epoch:8/60 || Epochiter:21/23 || loss:0.4588||Batchtime:0.1417||ETA:0:02:49
Epoch:8/60 || Epochiter:22/23 || loss:0.4911||Batchtime:0.1404||ETA:0:02:48
Epoch:8/60 || Epochiter:23/23 || loss:0.5464||Batchtime:0.1385||ETA:0:02:45
valid_loss:0.0039054537191987038,valid_access:0.7928571428571428
Epoch:9/60 || Epochiter:1/23 || loss:0.5491||Batchtime:2.8405||ETA:0:56:37
Epoch:9/60 || Epochiter:2/23 || loss:0.6250||Batchtime:0.2545||ETA:0:05:04
Epoch:9/60 || Epochiter:3/23 || loss:0.5495||Batchtime:0.0994||ETA:0:01:58
Epoch:9/60 || Epochiter:4/23 || loss:0.4705||Batchtime:0.1570||ETA:0:03:07
Epoch:9/60 || Epochiter:5/23 || loss:0.4153||Batchtime:0.1003||ETA:0:01:59
Epoch:9/60 || Epochiter:6/23 || loss:0.4851||Batchtime:0.0991||ETA:0:01:58
Epoch:9/60 || Epochiter:7/23 || loss:0.5400||Batchtime:0.1008||ETA:0:01:59
Epoch:9/60 || Epochiter:8/23 || loss:0.4839||Batchtime:0.1000||ETA:0:01:58
